id,nodeA,nodeB
IDEPT00504_IHALL02304,IDEPT00504,IHALL02304
IHALL01701_IHALL01601,IHALL01701,IHALL01601
IHALL01702_IHALL01602,IHALL01702,IHALL01602
IHALL01705_IHALL01605,IHALL01705,IHALL01605
IDEPT01205_IHALL02805,IDEPT01205,IHALL02805
IDEPT01405_IHALL02605,IDEPT01405,IHALL02605
IDEPT00701_IHALL01001,IDEPT00701,IHALL01001
IPARK02601_BadSol1615935841,IPARK02601,BadSol1615935841
IHALL01902_IHALL02502,IHALL01902,IHALL02502
BadSol1615935588_IPARK00801,BadSol1615935588,IPARK00801
IWALK00701_IWALK00801,IWALK00701,IWALK00801
IHALL02101_ILAB00201,IHALL02101,ILAB00201
IDEPT00905_IHALL02005,IDEPT00905,IHALL02005
IHALL01805_IDEPT01105,IHALL01805,IDEPT01105
BadSol10_BadSol1615935578,BadSol10,BadSol1615935578
BadSol11_BadSol1615935577,BadSol11,BadSol1615935577
BadSol12_BadSol1615935577,BadSol12,BadSol1615935577
BadSol13_BadSol1615935578,BadSol13,BadSol1615935578
PHALL00101_BadSol4,PHALL00101,BadSol4
IHALL01601_IHALL01401,IHALL01601,IHALL01401
IHALL00402_IHALL00302,IHALL00402,IHALL00302
IHALL03604_IREST00204,IHALL03604,IREST00204
IHALL00404_IHALL00304,IHALL00404,IHALL00304
IHALL02704_IHALL02604,IHALL02704,IHALL02604
IHALL00604_IDEPT02304,IHALL00604,IDEPT02304
IHALL00303_IHALL00403,IHALL00303,IHALL00403
IHALL01403_IHALL01603,IHALL01403,IHALL01603
IDEPT00203_IHALL00403,IDEPT00203,IHALL00403
IDEPT00302_IHALL00302,IDEPT00302,IHALL00302
IHALL00405_IHALL00305,IHALL00405,IHALL00305
IHALL01503_ICONF00103,IHALL01503,ICONF00103
IHALL02705_ISTAI00405,IHALL02705,ISTAI00405
IHALL01405_IDEPT00405,IHALL01405,IDEPT00405
BadSol1615935846_BadSol1615935922,BadSol1615935846,BadSol1615935922
IELEV00305_IHALL02505,IELEV00305,IHALL02505
ISERV00503_IHALL02303,ISERV00503,IHALL02303
BadSol1615935222_IPARK00101,BadSol1615935222,IPARK00101
IDEPT00204_IHALL03904,IDEPT00204,IHALL03904
IELEV00301_IHALL02501,IELEV00301,IHALL02501
IELEV00201_IHALL02601,IELEV00201,IHALL02601
IPARK03001_BadSol1615935835,IPARK03001,BadSol1615935835
ISTAI00103_IHALL01903,ISTAI00103,IHALL01903
IHALL03405_IDEPT01905,IHALL03405,IDEPT01905
BadSol1615935824_BadSol1615935835,BadSol1615935824,BadSol1615935835
IHALL03005_IHALL03105,IHALL03005,IHALL03105
IHALL03804_IHALL03904,IHALL03804,IHALL03904
